"From: Mar 1, 2015, 12:00:02 AM To: Mar 22, 2015, 2:00:27 PM
Generated On: Mar 22, 2015, 2:04:26 PM",,,,,
,,,,,
,,,,,
Sales Item Totals,,,,,
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
Coffee,59,$112.60,0,$0.00,$112.60
Salade Du Maison,57,$336.00,0,$0.00,$336.00
Bleu Caesar,55,$330.00,0,$0.00,$330.00
Jager Schnitzel,50,$676.20,0,$0.00,$676.20
Charbroiled Flounder,49,$833.00,0,$0.00,$833.00
Roasted Chicken,41,$640.00,0,$0.00,$640.00
Martini,41,$315.22,0,$0.00,$315.22
Iced Tea,32,$72.00,0,$0.00,$72.00
Chicken Schnitzel,31,$420.00,0,$0.00,$420.00
"Whitehaven, Sauvingnon Blanc Glass",31,$186.75,0,$0.00,$186.75
Grilled Salmon,30,$468.00,0,$0.00,$468.00
Tortellini,28,$421.00,0,$0.00,$421.00
Grilled Rack Of Lamb,24,$576.00,0,$0.00,$576.00
Filet Mignon,24,$572.00,0,$0.00,$572.00
"DeLoach, Pinot Noir Glass",24,$135.80,0,$0.00,$135.80
Soupe Du Jour Cup,24,$104.25,0,$0.00,$104.25
Almond Choc Mousse Torte,23,$138.00,0,$0.00,$138.00
Mussels Provencal,21,$246.00,0,$0.00,$246.00
Escargot,21,$200.00,0,$0.00,$200.00
"Oberon, Cabernet Glass",21,$190.00,0,$0.00,$190.00
"Xavier , Cotes Du Rhone Glass",21,$135.50,0,$0.00,$135.50
Velvet Devil Gl,21,$120.00,0,$0.00,$120.00
Bloody Mary,21,$99.50,0,$0.00,$99.50
Chicken Rav Entree,20,$320.00,0,$0.00,$320.00
"Heron, Chardonnay Glass",20,$123.00,0,$0.00,$123.00
Goat Chz App,19,$228.00,0,$0.00,$228.00
Juno Burger,19,$193.70,0,$0.00,$193.70
"Altos Del Plata, Malbec Glass",18,$110.00,0,$0.00,$110.00
Scallops,17,$480.00,0,$0.00,$480.00
Omelet,17,$204.00,0,$0.00,$204.00
"Maso Canili, Pinot Grigio Glass",17,$117.00,0,$0.00,$117.00
Quiche,16,$135.00,0,$0.00,$135.00
"Isabel Mondavi, Chardonnay Glass",16,$132.00,0,$0.00,$132.00
Brie Macaroni & Cheese,16,$65.00,0,$0.00,$65.00
French Toast,15,$180.00,0,$0.00,$180.00
Eggs Benidict,15,$168.00,0,$0.00,$168.00
Shrimp Juno,15,$150.00,0,$0.00,$150.00
Veal Picatta,14,$373.95,0,$0.00,$373.95
Pork Schnitzel,14,$182.00,0,$0.00,$182.00
Salmon Benidict,14,$177.00,0,$0.00,$177.00
Crabcake,14,$163.50,0,$0.00,$163.50
Soupe Du Jour Bowl,14,$98.00,0,$0.00,$98.00
Stella Artois Lager,13,$58.50,0,$0.00,$58.50
Warsteiner Verum,13,$58.50,0,$0.00,$58.50
Decaf Coffee,13,$26.00,0,$0.00,$26.00
Red Cabbage,13,$20.00,0,$0.00,$20.00
"Chanson Bourgogne, Pinot Noir Glass",12,$90.75,0,$0.00,$90.75
Steak & Eggs,11,$165.00,0,$0.00,$165.00
Smoked Chicken Ravioli,11,$132.00,0,$0.00,$132.00
J D Pecan Pie,11,$66.00,0,$0.00,$66.00
French Onion Gratinee Cup,11,$60.00,0,$0.00,$60.00
Mimosa,11,$55.00,0,$0.00,$55.00
Snapper,10,$290.00,0,$0.00,$290.00
"Alexander Valley ""Sin Zin Zinfandel Glass""",10,$66.00,0,$0.00,$66.00
Austrian Choc Torte,10,$60.00,0,$0.00,$60.00
"Rudi Wiest, Riesling Glass",10,$55.00,0,$0.00,$55.00
Fat Tire,10,$36.00,0,$0.00,$36.00
Bud Light,10,$33.00,0,$0.00,$33.00
Unsweet Tea,10,$22.50,0,$0.00,$22.50
Hot Tea,10,$22.50,0,$0.00,$22.50
Calamari Frite,9,$99.00,0,$0.00,$99.00
Tamari Malbec Glass,9,$54.00,0,$0.00,$54.00
Chateau Broit Bordeaux  Glass,9,$48.50,0,$0.00,$48.50
Tilapia Meuniere,8,$88.00,0,$0.00,$88.00
Rasp Choc Cheese Cake,8,$47.40,0,$0.00,$47.40
"Roux Père & Fils, Macon Villages Glass",8,$47.00,0,$0.00,$47.00
"Palacios Remondi, Rioja Glass",8,$47.00,0,$0.00,$47.00
Ch. Roc Meynard Glass,8,$44.80,0,$0.00,$44.80
Paulaner Hefe-Weizen,8,$44.00,0,$0.00,$44.00
Pomegranate Fizz,8,$40.00,0,$0.00,$40.00
"Charles De Fere, Sparkling Glass",8,$36.25,0,$0.00,$36.25
Charcutterie Board,7,$196.00,0,$0.00,$196.00
Spaten Octoberfest,7,$31.50,0,$0.00,$31.50
S.T.A. Brother Joesph Belgian Ale,7,$28.00,0,$0.00,$28.00
S.T.A. Milk Stout,7,$22.40,0,$0.00,$22.40
"Oberon, Cabernet Bottle",6,$228.00,0,$0.00,$228.00
Bolognese,6,$98.00,0,$0.00,$98.00
Duck W/ Polenta,6,$65.00,0,$0.00,$65.00
French Onion Gratinee Bowl,6,$48.00,0,$0.00,$48.00
Tuxedo Cheese Cake,6,$36.00,0,$0.00,$36.00
Key Lime Pie,6,$36.00,0,$0.00,$36.00
Tanqueray,6,$33.00,0,$0.00,$33.00
Secco Moscato Gl,6,$30.50,0,$0.00,$30.50
"Domaine De Ballade, Cotes De Blanc Glass",6,$29.00,0,$0.00,$29.00
Becks,6,$27.00,0,$0.00,$27.00
Brussel Sprouts,6,$25.00,0,$0.00,$25.00
Lagunitas IPA,6,$19.35,0,$0.00,$19.35
Diet Pepsi,6,$13.50,0,$0.00,$13.50
Maso Canili Pinot Grigio Bottle,5,$130.00,0,$0.00,$130.00
Michter's S.B. Bourbon,5,$51.25,0,$0.00,$51.25
LaPhroaig,5,$48.41,0,$0.00,$48.41
Makers Mark,5,$35.50,0,$0.00,$35.50
"Domaine De Chateaumar, Grenache Glass",5,$35.00,0,$0.00,$35.00
Spaten Optimator,5,$25.00,0,$0.00,$25.00
Vodka,5,$21.25,0,$0.00,$21.25
Blue Moon,5,$20.00,0,$0.00,$20.00
Astra,5,$17.00,0,$0.00,$17.00
Beaujolais Villages Glass,5,$13.95,0,$0.00,$13.95
S.T.A. Monkeynaut,5,$11.60,0,$0.00,$11.60
Pomme Frites,5,$5.00,0,$0.00,$5.00
Crab cake,4,$108.00,0,$0.00,$108.00
"Heron, Chardonnay Bottle",4,$96.00,0,$0.00,$96.00
Smoked Salmon Plate,4,$64.00,0,$0.00,$64.00
Scallops,4,$60.00,0,$0.00,$60.00
Woodford Dbl Oak,4,$42.50,0,$0.00,$42.50
Balvenie Doublewood,4,$38.00,0,$0.00,$38.00
Glenlivet 12,4,$29.50,0,$0.00,$29.50
Ketel One,4,$26.00,0,$0.00,$26.00
White Russian,4,$22.20,0,$0.00,$22.20
Absolut,4,$22.00,0,$0.00,$22.00
Mulderbosch Chenin Blanc Glass,4,$17.00,0,$0.00,$17.00
S.T.A. Sand Island Lighthouse,4,$16.00,0,$0.00,$16.00
Bourbon,4,$14.00,0,$0.00,$14.00
Grey Goose,4,$13.00,0,$0.00,$13.00
Expresso,4,$10.90,0,$0.00,$10.90
Haricots Verts & Garlic,4,$10.00,0,$0.00,$10.00
German Potatoes,4,$10.00,0,$0.00,$10.00
"Altos Del Plata, Malbec Bottle",3,$72.00,0,$0.00,$72.00
"Whitehaven, Sauvingnon Blanc Bottle",3,$72.00,0,$0.00,$72.00
Steak Special,3,$66.00,0,$0.00,$66.00
House Special,3,$47.00,0,$0.00,$47.00
Shepards Pie,3,$45.00,0,$0.00,$45.00
Bruton,3,$29.25,0,$0.00,$29.25
"Ch Du Gazin, Frongac Glass",3,$24.75,0,$0.00,$24.75
Cosmopolitan,3,$21.00,0,$0.00,$21.00
Finchs Secret Stash,3,$21.00,0,$0.00,$21.00
Irish Coffee,3,$19.50,0,$0.00,$19.50
"Gerard Bertrand , Corbières Glass",3,$18.75,0,$0.00,$18.75
NY Cheese Cake,3,$18.00,0,$0.00,$18.00
Chicken Tenders,3,$15.00,0,$0.00,$15.00
Spinach & Garlic Sautee,3,$15.00,0,$0.00,$15.00
St Paulie Non Alcoholic,3,$13.50,0,$0.00,$13.50
Gin,3,$12.75,0,$0.00,$12.75
Tiramisu,3,$12.00,0,$0.00,$12.00
Miller Light,3,$10.50,0,$0.00,$10.50
Cappuccino,3,$9.20,0,$0.00,$9.20
Orange Juice,3,$9.00,0,$0.00,$9.00
Sierra Mist,3,$6.75,0,$0.00,$6.75
Manhattan,3,$0.00,0,$0.00,$0.00
"Isabel Mondavi, Chardonnay Bottle",2,$62.00,0,$0.00,$62.00
Tamari Malbec Bottle,2,$48.00,0,$0.00,$48.00
"Xavier , Cotes Du Rhone Bottle",2,$48.00,0,$0.00,$48.00
"DeLoach, Pinot Noir Bottle",2,$48.00,0,$0.00,$48.00
Velvet Devil Merlot Bottle,2,$44.00,0,$0.00,$44.00
Beaujolais Villages Bottle,2,$40.00,0,$0.00,$40.00
"Rudi Wiest, Riesling Bottle",2,$40.00,0,$0.00,$40.00
Jamesons Irish Whiskey,2,$15.00,0,$0.00,$15.00
Four Roses,2,$13.00,0,$0.00,$13.00
Italian Rum Cake,2,$12.00,0,$0.00,$12.00
Tamari Cab Glass,2,$12.00,0,$0.00,$12.00
Frangelico,2,$11.00,0,$0.00,$11.00
Whiskey Sour,2,$11.00,0,$0.00,$11.00
DiSarrono,2,$11.00,0,$0.00,$11.00
Bacardi Superior,2,$10.00,0,$0.00,$10.00
Emp. Burger,2,$9.18,0,$0.00,$9.18
Mashed Potato,2,$8.00,0,$0.00,$8.00
Cranberry Juice,2,$6.00,0,$0.00,$6.00
Hendricks Gin,2,$5.50,0,$0.00,$5.50
Chopin ,2,$5.50,0,$0.00,$5.50
Pepsi ,2,$2.25,0,$0.00,$2.25
Misc,2,$0.02,0,$0.00,$0.02
Club Soda,2,$0.00,0,$0.00,$0.00
Veuve Clicquot Bottle,1,$95.00,0,$0.00,$95.00
"Picard, Chateaneuf Du Pape Bottle",1,$44.00,0,$0.00,$44.00
Dom. Gerbeaux Pouilly Fuisse  Bottle,1,$44.00,0,$0.00,$44.00
"Jean Reverdy, Sancèrre Bottle ",1,$42.00,0,$0.00,$42.00
"Chanson Bourgogne, Pinot Noir Bottle",1,$31.00,0,$0.00,$31.00
Duck,1,$29.00,0,$0.00,$29.00
"Alexander Valley ""Sin Zin Zinfandel Bottle""",1,$26.00,0,$0.00,$26.00
"Domaine De Chateaumar, Grenache Bottle",1,$26.00,0,$0.00,$26.00
Roux Père & Fils  Macon Village Bottle,1,$24.00,0,$0.00,$24.00
Ch. Roc Meynard Bottle,1,$24.00,0,$0.00,$24.00
Gerard Bertrand Corbières Bottle,1,$23.00,0,$0.00,$23.00
"Palacios Remondi, Rioja Bottle",1,$23.00,0,$0.00,$23.00
"Charles De Fere, Sparkling Bottle",1,$22.00,0,$0.00,$22.00
Chateau Broit Bordeaux  Bottle,1,$20.00,0,$0.00,$20.00
"Domaine De Ballade, Cotes De Blanc Bottle",1,$18.00,0,$0.00,$18.00
Oban,1,$16.00,0,$0.00,$16.00
Liver And Onions,1,$13.00,0,$0.00,$13.00
Macallan,1,$12.00,0,$0.00,$12.00
Knob Creek,1,$10.00,0,$0.00,$10.00
Jefferson,1,$8.50,0,$0.00,$8.50
Chivas Regal,1,$7.00,0,$0.00,$7.00
Crown Royal,1,$6.50,0,$0.00,$6.50
Ciderboys Seasonal,1,$6.00,0,$0.00,$6.00
Grolsch,1,$5.50,0,$0.00,$5.50
Dewar's White Label,1,$5.50,0,$0.00,$5.50
Sambuca,1,$5.50,0,$0.00,$5.50
"Domaine UBY , Cotes Gascogne Blanc Glass",1,$5.00,0,$0.00,$5.00
Old Forester,1,$4.50,0,$0.00,$4.50
E&J Brandy,1,$4.50,0,$0.00,$4.50
Tomato Juice,1,$3.00,0,$0.00,$3.00
Espresso Martini,1,$2.40,0,$0.00,$2.40
Dr. Pepper,1,$2.25,0,$0.00,$2.25
Milk,1,$2.25,0,$0.00,$2.25
Bacon Side,1,$2.00,0,$0.00,$2.00
Emp Soup Cup,1,$1.83,0,$0.00,$1.83
Jack Daniels ,1,$0.00,0,$0.00,$0.00
Butter Rum Carrots,1,$0.00,0,$0.00,$0.00
Saurkraut,1,$0.00,0,$0.00,$0.00
Roasted Potatoes,1,$0.00,0,$0.00,$0.00
"Xavier , Cotes Du Rhone Glass",5,$32.50,$32.50,,
S.T.A. Monkeynaut,2,$8.00,$8.00,,
"Oberon, Cabernet Bottle",1,$38.00,$38.00,,
"Alexander Valley ""Sin Zin Zinfandel Bottle""",1,$26.00,$26.00,,
Tamari Malbec Bottle,1,$24.00,$24.00,,
Tortellini,1,$20.00,$20.00,,
Roasted Chicken,1,$16.00,$16.00,,
Smoked Salmon Plate,1,$16.00,$16.00,,
Steak & Eggs,1,$15.00,$15.00,,
Jager Schnitzel,1,$14.00,$14.00,,
French Toast,1,$12.00,$12.00,,
Omelet,1,$12.00,$12.00,,
"Oberon, Cabernet Glass",1,$9.50,$9.50,,
Martini,1,$7.00,$7.00,,
"Maso Canili, Pinot Grigio Glass",1,$7.00,$7.00,,
Salade Du Maison,1,$6.00,$6.00,,
Spinach & Garlic Sautee,1,$5.00,$5.00,,
Red Cabbage,1,$5.00,$5.00,,
Diet Pepsi,1,$2.25,$2.25,,
Sierra Mist,1,$2.25,$2.25,,
